,Fragments,ObjValNoPen,ObjValWithPen
597,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
598,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
599,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
600,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
601,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
602,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
603,"['frag_01_c00001', 'frag_05_c00001', 'frag_13_c00001']",63162.57699832615,53162.57699832615
604,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_10_c00001']",53323.75205529715,53162.57699832615
605,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_10_c00001']",53323.75205529715,53323.75205529715
606,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_10_c00001']",53323.75205529715,53323.75205529715
607,"['frag_01_c00001', 'frag_02_c00001', 'frag_02_c00001', 'frag_10_c00001']",53323.75205529715,53323.75205529715
608,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.991525394515,53323.75205529715
609,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.991525394515,53420.991525394515
610,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.991525394515,53420.991525394515
611,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.991525394515,53420.991525394515
612,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.99152539453,53420.991525394515
613,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.99152539453,53420.99152539453
614,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.99152539453,53420.99152539453
615,"['frag_01_c00001', 'frag_05_c00001', 'frag_11_c00001']",53420.99152539453,53420.99152539453
616,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53420.99152539453
617,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.70807364754
618,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.70807364754
619,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.708073647555
620,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.708073647555
621,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.708073647555
622,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.708073647555
623,"['frag_02_c00001', 'frag_04_c00001', 'frag_15_c00001']",73485.70807364755,53485.708073647555
624,"['frag_03_c00001', 'frag_07_c00001', 'frag_07_c00001']",63557.20598895336,53485.708073647555
625,"['frag_03_c00001', 'frag_07_c00001', 'frag_07_c00001']",63557.20598895336,53557.20598895336
626,"['frag_03_c00001', 'frag_03_c00001', 'frag_16_c00001']",73817.96513987903,53557.20598895336
627,"['frag_03_c00001', 'frag_03_c00001', 'frag_16_c00001']",73817.96513987903,53817.96513987904
628,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,53817.96513987904
629,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
630,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
631,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
632,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
633,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
634,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
635,"['frag_01_c00001', 'frag_05_c00001', 'frag_12_c00001']",54044.90681477346,54044.90681477346
636,"['frag_04_c00001', 'frag_04_c00001', 'frag_13_c00001']",64094.07485732558,54044.90681477346
637,"['frag_04_c00001', 'frag_04_c00001', 'frag_13_c00001']",64094.07485732558,54094.07485732558
638,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54094.07485732558
639,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
640,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
641,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
642,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
643,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
644,"['frag_02_c00001', 'frag_05_c00001', 'frag_10_c00001']",54155.62478414679,54155.62478414679
